Date Made Public,Company,City,State,Type of breach,Type of organization,Total Records,Description of incident,Information Source,Source URL,Year of Breach,Latitude,Longitude
6-Feb-09,Catskill Regional Medical Center,Harris,New York,INSD,MED,431,"A woman was fired for allegedly 
          spying. The employee had access to company files. The files included 
          Social Security numbers, birth dates, addresses and financial information.",Dataloss DB,,2009,41.714256,-74.726273
3-Feb-09,Baystate Medical Center,Springfield,Massachusetts,PORT,MED,0,"Several laptops were stolen from 
          Baystate Medical Center's Pediatrics department. Some of those computers 
          had patient information on them. All of the information is password 
          protected and the computers had no financial or Social Security information 
          on them.",Dataloss DB,,2009,42.101483,-72.589811
2-Feb-09,St. Anthony Central Hospital,Denver,Colorado,INSD,MED,150,"Boxes, filing cabinets and trash 
            bags full of hundreds of U.S. passports, birth certificates, driver's 
            licenses, Social Security cards and other documents - most stolen 
            within the past two years were found in a storage unit.  A hospital employee admitted to stealing the records.  Also found 
            were hospital records containing dates of birth, Social Security numbers 
            and copies of the driver's licenses of 150 patients who had been admitted 
            into the emergency room or general surgery.",Dataloss DB,,2009,39.739154,-104.984703
28-Dec-09,Providence Health,Portland,Oregon,DISC,MED,"4,500","Providence Health Plans is re-issuing thousands of insurance cards after personal information was accidentally sent to the wrong policy-holders. Officials with Providence Health Plans say about 4,500 mailings were sent out with the incorrect group and member ID numbers, meaning that some policy holders received others’ information. Officials noticed the problem Monday.",Dataloss DB,,2009,45.523452,-122.676207
27-Jan-10,Methodist Hospital,Houston,Texas,PORT,MED,689,Methodist Hospital notified people that someone stole a laptop from an office at the Smith Tower in the Texas Medical Center. A thief took the laptop on January 18. The computer was attached to a medical device that tests pulmonary function and contained private health information and Social Security numbers.,Dataloss DB,,2010,29.763284,-95.363272
5-Mar-10,UT Southwestern Medical Center,Dallas,Texas,INSD,MED,200,"UT Southwestern recently sent out a mass mailing to 10,000 of its patients, 
claiming that a former employee disclosed patients' information to a third party 
that intended to use it for credit, loans and open bank accounts. UT 
Southwestern representatives claim 200 patients were actually affected.",Dataloss DB,,2010,32.802955,-96.769923
10-Mar-10,Atlanta Veterans Affairs Medical Center,Atlanta,Georgia,INSD,MED,0,"An assistant allegedly recorded two sets of patient data on to a personal laptop 
for research purposes. One set included three years' worth of patient data and 
another held 18 years of medical information. The physician assistant's laptop 
was never connected to the VA network and any data she recorded on her laptop 
was hand entered. The department has not disclosed the number of patients 
involved in the incident, what kind of personal data was copied, or whether it 
plans to notify the veterans whose records were downloaded.",Media,,2010,33.748995,-84.387982
1-Dec-09,Children's Hospital of Philadelphia,Philadelphia,Pennsylvania,PORT,MED,942,"A laptop computer containing Social Security Numbers and other personal information was stolen from a car outside an employee's home on Oct. 20. The billing information on the computer was password-protected, but an analysis found it was possible to decode the security controls on the laptop and gain access to the personal information.",Dataloss DB,,2009,39.952335,-75.163789
2-Mar-10,Open Door Clinic of Greater Elgin,Elgin,Illinois,HACK,MED,260,"According to a lawsuit, the clinic stores patient information, including Social Security numbers, addresses, telephone numbers, insurance information and medical history on a file-sharing network. That network is accessible to employees’ personal laptops and home computers. A spreadsheet with information of about 260 of its patients was leaked as a result of the installation and use of file sharing software on computers containing patients’ personally identifiable information.",Dataloss DB,,2010,42.037249,-88.28119
6-Apr-10,Providence Hospital,Southfield,Minnesota,PORT,MED,12,"The hospital has sent letters alerting patients that a hard drive used for backing up data has been ""lost or stolen from a locked office suite. The hospital explained that the data included patient names, medical record numbers and/or clinical information, addresses and phone numbers of some employees, and what the hospital called proprietary businesses information. The hospital would not comment on how many patients may be affected, but said only 12 patients' Social Security numbers were on the hard drive.",Dataloss DB,,2010,46.832005,-96.752165
8-Apr-10,ManorCare Health Services,Wheaton,Maryland,INSD,MED,0,"Montgomery County's Department of Health and Human Services is looking into how numerous Wheaton nursing home papers containing sensitive patient information have made their way into nearby neighbors' yards over the past few months. The county sent a nursing home inspector to investigate complaints from residents in the Wheaton Regional Park Civic Association who said they have found internal documents from the nearby ManorCare Health Services that contain patient conditions, names and Social Security numbers. The inspector cited ManorCare for inappropriate conduct. ",Dataloss DB,,2010,39.039831,-77.055256
13-Apr-10,St. Peter's Hospital,Albany,New York,INSD,MED,0,"An East Greenbush man who worked as a medical records clerk at St. Peter's Hospital is accused of stealing personal information from patient's files to open credit card accounts. The man allegedly stole Social Security numbers and other personal information from patient's records, then used the data to open credit card accounts for making personal purchases online. The man was charged April 12 with five counts of felony second-degree forgery, three counts of felony second-degree identity theft and three counts of misdemeanor second-degree criminal impersonation.",Dataloss DB,,2010,42.652579,-73.756232
21-Apr-10,Brooke Army Medical Center,San Antonio,Texas,PORT,MED,"1,272","An Army three-ring binder that may have included detailed information on soldiers and families being treated at Brooke Army Medical Center was stolen on Oct. 16 from a car belonging to a case manager. Names, phone numbers and health information of 1,272 patients being treated at hospitals may have been breached by the car break-in.",Dataloss DB,,2010,29.424122,-98.493628
23-Apr-10,Hutcheson Medical Center,Chattanooga,Tennessee,PHYS,MED,0,"Anyone who peered inside the mixed paper bin at the Dupont Recycling Center in May of 2009 got an eyeful. Files, in plain sight, which contained sensitive medical and identity information. Authorities don't know how those thousands of files got there. Some of the records came from Hutcheson and a plastic surgery office in the area. The information inside those files included graphic photos, and Social Security numbers. ",Dataloss DB,,2010,35.04563,-85.30968
28-Apr-10,The Medical Center,Bowling Green,Kentucky,PORT,MED,"5,418","The Medical Center at Bowling Green is notifying 5,418 patients whose medical information may have been breached when a computer hard drive was stolen. The computer hard drive was taken from the hospital's mammography suite and contained information from patients who underwent bone density testing between 1997 and 2009.",Dataloss DB,,2010,36.99032,-86.443602
2-Mar-10,Family Health Center,Reston,Virginia,DISC,MED,0,"Boxes containing patient information ended up in a dump.  The easily accessible information included health history, surgeries performed, test results, pictures, insurance cards, bank account information and addresses.  The boxes were traced back to Family Health Center on Town Center Parkway.",PHIPrivacy.net,,2010,38.968721,-77.341096
3-Jun-10,Safe Harbor Med,Santa Cruz,California,PORT,MED,0,"Burglars stole client records, a suitcase and two bags of cookies from a medicinal marijuana referral office. Burglars also stole a computer hard drive that contained a client database, including Social Security numbers, ID numbers and other sensitive information. The burglars apparently cut power to the building — so the alarm didn't go off — and shattered a window to get into the office.",Dataloss DB,,2010,36.974117,-122.030796
28-Jun-10,Children's Hospital of Orange County,Orange,California,PHYS,MED,0,"The Hospital is checking its database for accuracy after discovering that patient files have been faxed to the wrong location at least twice.  Patient records were faxed to an auto shop in 2009, and the wrong doctor on a separate occasion.",PHIPrivacy.net,,2010,33.787794,-117.853112
20-Jun-10,Mercy Willard Hospital,Willard,Ohio,INSD,MED,0,"A former employee kept patient photographs, videos, memos, schedules, and forms.  Some of the documents included patient Social Security numbers and other personal information.  The employee is also being accused of voyeurism and possession of child pornography; though this is unrelated to these findings.",PHIPrivacy.net,,2010,41.053111,-82.726291
8-Jun-10,Tri-City Medical Center,Oceanside,California,INSD,MED,0,"Employees shared patient information on Facebook. Differing reports leave it unclear if these employees were nurses, and whether or not they were fired.",PHIPrivacy.net,,2010,33.19587,-117.379483
21-Aug-09,Battleground Urgent Care/Prompt Med,Greensboro,North Carolina,PHYS,MED,623,"Medical files were found in a 
            dumpster. It seems a third party moving company was hired to transfer 
            the boxes from one warehouse to another. It is unknown at this time 
            how the files ended up in the dumpster. The information in the files 
            contained Social Security numbers, driver's license copies, 
            medical histories, and employers. UPDATE (5/24/10): Prompt Med agreed to pay a $50,000 fine to the state of North Carolina.",Dataloss DB,,2009,36.072635,-79.791975
10-Jul-10,Ohio Department of Developmental Disabilities ,Columbus,Ohio,DISC,MED,200,"Within a two week period personal information of 200 people using the Department's services was accidentally posted online.  The Social Security numbers, names, addresses, medical records, and treatment information were only available for viewing through the state computer network.",PHIPrivacy.net,,2010,39.961176,-82.998794
28-May-10,Cincinnati Children's Hospital Medical Center,Cincinnati,Ohio,PORT,MED,"61,000","A laptop containing the names, medical record numbers, and medical services provided of patients was stolen from an employee's car while it was parked at his or her home.  As a precaution, no additional laptops will be allowed outside the hospital unless they are encrypted.",Databreaches.net,,2010,39.136111,-84.503056
17-Sep-09,Akron Children's Hospital,Akron,Ohio,HACK,MED,0,"A 38-year-old Avon Lake, Ohio, 
            man is set to plead guilty to federal charges after spyware he allegedly 
            meant to install on the computer of a woman he'd had a relationship 
            with ended up infecting computers at Akron Children's Hospital. He 
            allegedly sent the spyware to the woman's Yahoo e-mail address, hoping 
            that it would give him a way to monitor what she was doing on her 
            PC. But instead, she opened the spyware on a computer in the hospital's 
            pediatric cardiac surgery department, creating a regulatory nightmare 
            for the hospital. Between March 19 and March 28 the spyware sent more 
            than 1,000 screen captures via e-mail. They included details of medical 
            procedures, diagnostic notes and other confidential information relating 
            to 62 hospital patients. He was also able to obtain e-mail and financial 
            records of four other hospital employees as well, the plea agreement 
            states.",Dataloss DB,,2009,41.081445,-81.519005
14-Jul-10,Tomah Memorial Hospital,Tomah,Wisconsin,INSD,MED,600,A nurse used patient names and account numbers to illegally obtain narcotics.  The nurse was fired.,PHIPrivacy.net,,2010,43.978576,-90.504021
1-Jul-10,NYU Langone Medical Center Hospital for Joint Diseases,New York,New York,PORT,MED,"2,563","An unencrypted portable USB was lost or stolen sometime around May 12th.  It contained patient names, medical record numbers, sex, age, procedure, attending physician, time of arrival in recovery room and time of discharge from recovery room.",PHIPrivacy.net,,2010,40.714353,-74.005973
25-Nov-09,Aurora St. Luke's Medical Center,Milwaukee,Wisconsin,PORT,MED,"6,400","6,400 people who were in-patients at St. Luke's are being warned that their name, Social Security number and other information may have landed in the hands of thieves, due to a stolen laptop computer. All of the at-risk individuals were cared for there at some point by a hospitalist, a physician other than the patient's primary care doctor, who works for an independent physician group called Cogent Healthcare. The computer was stolen from a locked office in a secure physician office building that is located adjacent to the hospital; the computer belonged to an employee of Cogent Healthcare of Wisconsin.",Dataloss DB,,2009,43.038903,-87.906474
23-Mar-10,Montefiore Medical Center,Bronx,New York,PORT,MED,625,A laptop containing private health information was stolen on February 20th.,PHIPrivacy.net,,2010,40.8501,-73.866246
31-Jul-10,Montefiore Medical Center,Bronx,New York,STAT,MED,"39,000","Two computers were stolen during the weekend of May 22nd.  Names, medical record numbers, Social Security numbers, dates of birth, insurers, and hospital admission dates for an unknown number of patients were on the computers.UPDATE (8/3/10): One computer was from the Finance Department and had the information of 16,000 patients; the second computer theft affected the records of 23,000 students from the School Health Program and their families.",PHIPrivacy.net,,2010,40.8501,-73.866246
24-Aug-10,Mahaska County Hospital,Oskaloosa,Iowa,INSD,MED,0,Two patient-orders coordinators were fired for separate incidents of snooping.  One inappropriately accessed at least two patients' data. The other employee inappropriately accessed the data of multiple family members.,PHIPrivacy.net,,2010,41.293889,-92.644444
10-Aug-10,Jewish Hospital Catheterization Lab,Louisville,Kentucky,PORT,MED,"2,089","Two stolen laptops contained personal information on patients who were treated between June 2, 2009 and July 16. 2010. Patient names, Social Security numbers, dates of birth, medical record numbers, addresses, phone numbers, patient account numbers, and insurance carriers.",PHIPrivacy.net,,2010,38.252768,-85.758446
30-Jun-10,Lincoln Medical and Mental Health Center,Bronx,New York,PORT,MED,"130,495","Multiple CDs containing patient personal information were lost in transit by FedEx.  Information included dates of birth, driver's license numbers, descriptions of medical procedures, addresses, and Social Security numbers.  Siemens Medical Solutions USA, the Hospital's billing contractor, shipped the CDs around March 16th. They were never received.",PHIPrivacy.net,,2010,40.8501,-73.866246
21-Apr-10,St. Mary and Elizabeth Hospital Women's Center,Louisville,Kentucky,STAT,MED,77,"A hard drive was stolen from a locked area.  Medical information such as biopsy images, patient names, and medical exams were on the stolen hard drive.",PHIPrivacy.net,,2010,38.254238,-85.759407
20-May-10,Strong Memorial Hospital,Rochester,New York,DISC,MED,"1,250","Around half of all patient medical bills were sent to the wrong address.  The billing statements included patient names, name and address of the person responsible for paying the bill, description of services received and the dates of services, dollar amount owed, health insurance plan and subscriber number. Around 1,250 patients were affected.",Databreaches.net,,2010,43.154785,-77.615557
25-May-10,Loma Linda University Medical Center,Loma Linda ,California,STAT,MED,584,"A thief has stolen personal information regarding more than 500 surgical patients of Loma Linda University Medical Center, according to hospital officials. A desktop computer containing the information disappeared April 5 from the department of surgery's administrative office on Campus Street. The missing information includes each patient's name, medical record number, diagnosis, surgery date, and the type of procedure. ",Dataloss DB,,2010,34.048347,-117.261153
9-Sep-10,Mayo Clinic,Phoenix,Arizona,INSD,MED,"1,700","An employee was fired after it was learned that the employee accessed patient records without authorization.  The employee repeatedly accessed information at a location in Arizona between 2006 and 2010, but the Mayo Clinic system allows employees to access patient records from across the country.",PHIPrivacy.net,,2010,33.448377,-112.074037
13-Sep-10,Saint Barnabas Health Care Systems and Newark Beth Israel Medical Center,West Orange,New Jersey,PORT,MED,"4,586","An employee of Saint Barnabas' accounting partner KPMG lost an unencrypted flash drive.  The flash drive had patient names and information about their health, but did not have Social Security numbers or financial information.  The incident occurred in June and patients were notified in September.",HHS via PHIPrivacy.net,,2010,40.798711,-74.239035
27-Sep-10,Kern Medical Center,Bakersfield,California,HACK,MED,0,"An employee opened an email that subsequently affected the entire hospital system in late July.  The Kern Medical Center temporarily removed itself from the county computer network to prevent the spread of the attack.  Patient records were eventually secured, but it is unknown if any were affected by the 16-day malware attack.",PHIPrivacy.net,,2010,35.373292,-119.018713
25-Sep-10,St. Vincent Hospital (Saint Vincent),Indianapolis,Indiana,PORT,MED,"1,200",A computer was stolen from an employee's home on July 25.  The computer had patient Social Security numbers and other personal health information.  Patients were notified in late September. ,PHIPrivacy.net,,2010,39.768377,-86.158042
12-May-09,Johns Hopkins Hospital,Baltimore,Maryland,INSD,MED,"10,200","An investigation suggests a former 
          employee who worked in patient registration may have been linked to 
          a scheme to create fake drivers' licenses in Virginia. The employee 
          had access to information such as name, address, telephone number, mother 
          and fathers names, dates of birth and Social Security numbers, but not 
          to any health or medical information.UPDATE (10/1/10 via PHIPrivacy.net): The former employee and four others were indicted for fraud and aggravated identity theft.  They are charged with using patient information to create fraudulent credit accounts. The former employee worked at the hospital between August 2007 and March of 2009.  It is believed that around 600 patients may have been targets for identity theft, but only 50 incidents were linked to the former employee. ",Media,,2009,39.290385,-76.612189
4-Oct-10,Gulf Pines Hospital,Port St. Joe,Florida,PHYS,MED,0,"Former employees are concerned that the hospital was not properly cleared before being sold.  People reported abandoned files in the middle of the hospital.  An emergency room log, driver's license information, Social Security numbers and other personal files were left in the hospital.  Patient medical records were removed. The buyer of the property was contacted, but did not return phone calls.",PHIPrivacy.net,,2010,29.814722,-85.297222
11-Oct-10,St. James Hospital and Health Centers,Chicago,Illinois,PHYS,MED,967,The improper disposal of paper documents may have left the health information of patients of Saint James Hospital and Health Centers exposed.  The incident occurred on or around August 10.  ,HHS via PHIPrivacy.net,,2010,41.878114,-87.629798
30-Mar-10,"Boulder Community Hospital, Family Medical Associates",Lafayette,Colorado,PHYS,MED,14,"Anonymous letters were sent to at least 14 patients of the Family Medical Associates clinic in Lafayette.  The letters contained Social Security numbers, medical records, dates of birth and names.  The sender claimed that the clinic was improperly disposing patient personal information.",PHIPrivacy.net,,2010,39.993596,-105.089706
31-Jul-09,Jackson Memorial Hospital,Miami,Florida,INSD,MED,"3,360","A Miami man was charged with buying 
            confidential patient records from a Jackson Memorial Hospital employee 
            over the past two years, and selling them to a lawyer suspected of 
            soliciting the patients to file personal-injury claims.UPDATE (10/26/10): Ruben E. Rodriquez was sentenced to 11 years in prison for selling patient records to lawyers for injury claims.  Rodriquez stole 3,350 patient records in 2008 and 2009.  He may have also sold information in 2007.  The information included name, contact information and medical diagnoses. ",Media,,2009,25.774266,-80.193659
14-Nov-10,Northridge Hospital Medical Center,Northridge,California,PHYS,MED,837,"A package sent through a national courier was damaged during transit.  Because of this damage, patient names, Social Security numbers, addresses, phone numbers, dates of birth, dates of death, physician, financial account number, insurance ID, Medicare and Medicaid charges billed and paid, hospital room and board charges and guarantor Social Security number may have been exposed.  People who were patients between September of 2004 and June of 2006 were affected.",Databreaches.net,,2010,34.22833,-118.53583
21-Nov-10,Coliseum Hospital,Macon,Georgia,INSD,MED,0,A former employee was able to enter a secured area and log onto a hospital computer while attending a social event.  The former employee's access code had been left active and patient records were viewed during the incident.,PHIPrivacy.net,,2010,32.840695,-83.632402
19-Nov-10,Kern Medical Center,Bakersfield,California,PHYS,MED,596,"The California Department of Public Health fined Kern Medical Center in Bakersfield, CA, $250,000 for allegedly keeping patient records in an outside, unlocked locker, allowing for the theft of 596 patient records in 2009.  For several months in 2009 a Kern Medical Center employee placed the daily lab reports in the broken locker outside the hospital until they were stolen one night.  Six additional health facilities were also fined: Biggs Gridley Memorial Hospital, Gridley, Butte County; Children's Hospital of Orange, Orange, Orange County; Delano Regional Medical Center, Delano, Kern County; Kaweah Manor Convalescent Hospital, Visalia, Tulare County; Oroville Hospital, Oroville, Butte County; Pacific Hospital of Long Beach, Long Beach, Los Angeles County.  The total amount of fines for the seven health facilities was $792,000.",Media,,2010,35.373292,-119.018713
8-Apr-10,St. Francis Hospital,Tulsa,Oklahoma,INSD,MED,60,"A Sand Springs woman has been indicted on allegations that she used personal identifying information she copied from her then-employer's computer system as part of a scheme involving fraudulent credit cards and stolen mail. The indictment was released Wednesday in federal court in Tulsa and states that the 45 year old woman exceeded her computer-access authority at St. Francis Hospital to obtain information such as Social Security numbers and dates of birth of at least 60 people.UPDATE (11/24/10): A second woman was sentenced for her role in the credit card fraud case. Both women had been employed at Saint Francis.  Patient names, Social Security numbers and addresses obtained between August 6 and December 28 of 2009 were used to illegally obtain credit cards.",Dataloss DB,,2010,36.153982,-95.992775
10-Dec-10,Memorial Hospital of Gardena,Gardena,California,PHYS,MED,771,The Hospital reported that the unauthorized access or disclosure of paper records affected patients.  The incident occurred on or around October 14.,HHS via PHIPrivacy.net,,2010,33.888349,-118.308962
10-Dec-10,Kings County Hospital Center,Brooklyn,New York,STAT,MED,542,The August 22 theft of a desktop computer may have exposed the protected health information of patients.,HHS via PHIPrivacy.net,,2010,40.65,-73.95
13-Dec-10,Mountain Vista Medical Center,Mesa,Arizona,PORT,MED,"2,284","On October 13, multiple memory data cards were discovered to be missing from two endoscopy machines.  The information of patients who had procedures performed between January of 2008 and October 12 of 2010 was on the data cards.  The information included full name, hospital record number, date of birth, gender, age, date and type or procedure and image(s) related to the procedure.",PHIPrivacy.net,,2010,33.422269,-111.82264
15-Dec-10,California Department of Public Health,West Covina,California,PORT,MED,"2,550","A magnetic tape was lost during shipping between West Covina and Sacremento on or around September 27. The health care facility staff and residents who were determined to have been affected were notified on November 23.  Employee emails, employee background reports, investigative reports, names and diagnosis information on health care facility residents and Social Security numbers for CDPH workers were on the tape.  ",PHIPrivacy.net,,2010,34.068621,-117.938953
22-Dec-10,Hospital Auxilio Mutuo,Hato Ray,Puerto Rico,HACK,MED,"1,000","The Hospital experienced a breach of one or more computers on or around November 19.  The exact nature of the breach was not reported and could have been theft, unauthorized access, hacking, or an IT incident.",HHS via PHIPrivacy.net,,2010,18.429446,-66.060239
20-Dec-10,Dean Clinic and St. Mary's Hospital,Madison,Wisconsin,PORT,MED,"3,288","A laptop was stolen during a home invasion on or around November 8.  Patient names, dates of birth, medical record numbers, dates and types of procedures, diagnoses, and some pathology data were on the laptop.  ",PHIPrivacy.net,,2010,43.073052,-89.40123
27-Dec-10,"Riverside Mercy Hospital, Mercy Health Partners",Toledo,Ohio,PHYS,MED,"1,000",Patient and employee records were left in the Hospital after the facility was sold to Toledo Public Schools in 2003.  The Hospital closed in 2002 and was sold in 2003.  Records were left unsecured in the facility from 2003 until the discovery in November of 2010.,PHIPrivacy.net,,2010,41.663938,-83.555212
1-May-09,Littleton Regional Hospital,Littleton,New Hampshire,INSD,MED,0,"A patient complaint in March of 2009 resulted in the firing of an employee. An audit revealed that the employee inappropriately accessed patient records for unknown reasons at least three times between 2008 and May of 2009.  The records contained names, contact information, dates of birth, insurance information and other health information.
UPDATE (8/10/10): Another employee was fired for a similar unauthorized access incident during May of 2010.",PHIPrivacy.net,,2009,44.306173,-71.770089
6-Jan-11,"Grant Medical Center, OhioHealth",Columbus,Ohio,INSD,MED,501,"On November 5, several out-of-service computers were determined to be missing from a storage facility.  An investigation revealed that a dishonest employee had stolen the computers, attempted to clear the hard drives and was in the process of reselling them.  Information from patients treated at Grant between 2008 and November 5 of 2010 may have remained on the stolen computers.  UPDATE (1/14/11): The breach affected 501 individuals.",PHIPrivacy.net,,2011,39.961176,-82.998794
12-Jan-11,Kadlec Regional Medical Center,Richland,Washington,HACK,MED,0,"A computer server that contained brain scan and other patient studies was hacked sometime around September 15.  Patient names, dates of birth, ages, genders, medical record numbers and doctors' names were exposed.  The breach was discovered on November 11 during routine monitoring of computer network backups. The server was removed from service and a firm was hired to investigate the issue.",PHIPrivacy.net,,2011,46.285691,-119.284462
13-Jan-11,St. Vincent Hospital,Indianapolis,Indiana,UNKN,MED,"1,800","In November, Saint Vincent officials learned that several associate email accounts had been breached.  A third party managed to obtain email logins.  Patient names, dates of service and clinical information may have been accessed.",PHIPrivacy.net,,2011,39.768377,-86.158042
12-Jan-11,Universal Medical Center,Tucson,Arizona,INSD,MED,0,Three staff members and one contract employee were fired for viewing sensitive patient information without cause. The electronic medical records of patients who were injured during a terrorist shooting spree may have intrigued the workers.  There were no reports of confidential patient information being released to the public.,PHIPrivacy.net,,2011,32.221743,-110.926479
29-Jan-11,Texas Health Harris Methodist Hospital Azle,Azle,Texas,PORT,MED,0,"The loss of a back-up computer disc with patient information was confirmed on April 22, 2010.  The disc contained laboratory chemistry exam results.  Patients who were treated at the Hospital's lab between July 2008 an February 2010 were affected.",PHIPrivacy.net,,2011,32.895126,-97.545857
2-Feb-11,Texas Children's Hospital,Houston,Texas,HACK,MED,0,"On December 29, the Harris County District Attorney's Office notified Texas Children's Hospital that its Accounts Payable system may have been breached.  Vendors and employees who received checks between 1999 and 2011 may have had their names and Social Security numbers accessed by an unauthorized third party.  The information seems to have been used to open electricity accounts.",Databreaches.net,,2011,29.762884,-95.383062
27-Oct-09,Baptist Hospital East,Louisville,Kentucky,DISC,MED,350,"Hundreds of people in Kentuckiana 
            are worrying about identity theft after their employer accidentally 
            released their Social Security numbers. 350 names and Social Security numbers of hospital employees 
            appear on a list that was circulated in an e-mail.",Dataloss DB,,2009,38.252665,-85.758456
13-Oct-09,Pitt County Memorial Hospital,Greenville,North Carolina,PORT,MED,"1,700","Patient names and Social Security 
            numbers were placed onto a portable computer storage device, used 
            to move the information between different computer systems. Employees 
            have since discovered that USB flash drive is missing from where it 
            was stored.",Dataloss DB,,2009,35.612661,-77.366354
12-Feb-11,Saint Francis Broken Arrow (Broken Arrow Medical Center),Broken Arrow,Oklahoma,STAT,MED,"84,000","A computer that had not been used since May of 2004 was stolen from a secured information systems room.  Patient billing information and some employee records were exposed.  The information would have included names, Social Security numbers, dates of birth, addresses and patient insurance and diagnostic information.",PHIPrivacy.net,,2011,36.052599,-95.79082
15-Feb-11,Baptist Memorial Hospital,Huntingdon,Tennessee,UNKN,MED,"4,800","A number of patients were notified after a breach occurred on November 27, 2010.",HHS via PHIPrivacy.net,,2011,36.000618,-88.428106
2-Mar-11,Beebe Medical Center,,Florida,PHYS,MED,113,"An employee placed a briefcase with sensitive documents in her car. The briefcase was stolen from the employee's car on January 1. It contained the names and Medicaid numbers of patients seen at the Beebe Medical Center in Lewes, Delaware. Only a small number of people who were seen between 2005 and 2009 were affected. Around 35 of the patients affected by the breach are deceased.",PHIPrivacy.net,,2011,27.664827,-81.515754
30-Mar-11,NYU Langone Medical Center,New York,New York,STAT,MED,670,"A desktop computer was stolen from an NYU School of Medicine Faculty Group Practice physician's office on January 27, 2011.  It contained names, dates of birth, medical record numbers, home addresses and patient occupations.   Information from 670 patients who visited the Langone Medical Center between April 4, 1999 and September 30, 2008 was stored on the computer.",PHIPrivacy.net,,2011,40.714353,-74.005973
